facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_promoting_interoperability_of_eh_rs,meets_criteria_for_birthing_friendly_designation,hospital_overall_rating,hospital_overall_rating_footnote,mort_group_measure_count,count_of_facility_mort_measures,count_of_mort_measures_better,count_of_mort_measures_no_different,count_of_mort_measures_worse,mort_group_footnote,safety_group_measure_count,count_of_facility_safety_measures,count_of_safety_measures_better,count_of_safety_measures_no_different,count_of_safety_measures_worse,safety_group_footnote,readm_group_measure_count,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,readm_group_footnote,pt_exp_group_measure_count,count_of_facility_pt_exp_measures,pt_exp_group_footnote,te_group_measure_count,count_of_facility_te_measures,te_group_footnote
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,1,,7,5,0,4,1,,8,5,0,5,0,,11,7,0,6,1,,8,8,,12,7,
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,11,0,,8,8,,12,11,
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,1,6,0,,8,7,3,4,0,,11,11,2,9,0,,8,8,,12,10,
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,,3,,7,3,0,3,0,,8,6,0,6,0,,11,6,0,4,2,,8,8,,12,6,
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,6,1,4,1,,11,11,2,9,0,,8,8,,12,11,
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,5,,7,6,0,6,0,,8,5,0,5,0,,11,11,1,10,0,,8,8,,12,8,
050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,(209) 223-7500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,4,0,4,0,,8,4,1,3,0,,11,9,1,8,0,,8,8,,12,10,
050017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,(916) 453-4453,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,0,7,0,,8,8,1,7,0,,11,9,0,8,1,,8,8,,12,10,
050022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,(951) 788-3000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,7,0,7,0,,8,7,1,5,1,,11,9,0,6,3,,8,8,,12,8,
050024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,(619) 470-4321,Acute Care Hospitals,Proprietary,Yes,Y,,2,,7,5,0,5,0,,8,4,0,4,0,,11,5,1,4,0,,8,8,,12,8,
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 543-6222,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,5,,7,7,4,3,0,,8,8,2,6,0,,11,11,1,9,1,,8,8,,12,10,
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,(619) 465-0711,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,5,,7,7,0,7,0,,8,7,4,3,0,,11,11,1,9,1,,8,8,,12,9,
050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,Acute Care Hospitals,Proprietary,Yes,Y,Y,3,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,8,
050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,(530) 533-8500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,1,,7,6,2,4,0,,8,4,0,4,0,,11,10,0,5,5,,8,8,,12,10,
050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,(661) 327-1792,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,7,0,6,1,,8,8,1,7,0,,11,10,0,9,1,,8,8,,12,8,
050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,(408) 885-5000,Acute Care Hospitals,Government - Local,Yes,Y,Y,2,,7,7,0,7,0,,8,8,1,5,2,,11,11,0,11,0,,8,8,,12,11,
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,2,,7,7,0,7,0,,8,7,5,2,0,,11,11,0,7,4,,8,8,,12,11,
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,2,,7,2,0,2,0,,8,6,0,5,1,,11,5,1,4,0,,8,8,,12,7,
050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,(530) 529-8012,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,4,,7,4,0,4,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,11,
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,4,,7,7,0,7,0,,8,7,3,4,0,,11,11,2,8,1,,8,8,,12,8,
050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,Acute Care Hospitals,Government - Local,Yes,,,1,,7,5,0,5,0,,8,7,1,4,2,,11,9,0,8,1,,8,8,,12,9,
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,7,3,4,0,,11,11,0,10,1,,8,8,,12,10,
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,3,0,3,0,,8,4,0,3,1,,11,5,0,5,0,,8,8,,12,9,
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 641-6562,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,5,,7,4,0,4,0,,8,7,0,7,0,,11,6,0,6,0,,8,8,,12,6,
050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,1,,7,6,0,5,1,,8,8,1,6,1,,11,8,0,6,2,,8,8,,12,7,
050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,(559) 624-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,9,1,5,3,,8,8,,12,11,
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,2,5,0,,8,7,1,6,0,,11,9,0,7,2,,8,8,,12,8,
050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,(559) 459-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,7,0,6,1,,8,7,1,5,1,,11,10,0,7,3,,8,8,,12,10,
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,5,3,,8,8,,12,8,
050067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,(209) 847-3011,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,NA,16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,6,
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,3,,7,7,0,7,0,,8,8,0,7,1,,11,10,0,10,0,,8,8,,12,10,
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,4,17,7,NA,NA,NA,NA,5,8,5,1,4,0,,11,1,0,1,0,,8,8,,12,3,
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,17,7,NA,NA,NA,NA,5,8,7,1,6,0,,11,1,0,1,0,,8,8,,12,4,
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,17,7,NA,NA,NA,NA,5,8,6,0,6,0,,11,1,0,1,0,,8,8,,12,4,
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,5,17,7,2,0,2,0,,8,6,1,5,0,,11,2,1,1,0,,8,8,,12,4,
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,17,7,5,0,5,0,,8,7,1,6,0,,11,4,0,3,1,,8,8,,12,4,
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,17,7,NA,NA,NA,NA,5,8,7,0,7,0,,11,1,0,1,0,,8,8,,12,4,
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,11,0,,8,8,,12,11,
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,2,,7,3,0,3,0,,8,4,1,3,0,,11,6,0,6,0,,8,8,,12,8,
050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,(805) 988-2500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,0,7,0,,11,11,0,9,2,,8,8,,12,11,
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,(209) 943-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,5,1,,11,9,0,8,1,,8,8,,12,10,
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,92411,SAN BERNARDINO,(909) 887-6333,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,3,0,3,0,,8,5,1,4,0,,11,4,0,4,0,,8,8,,12,7,
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,2,,7,3,0,3,0,,8,3,0,3,0,,11,7,0,6,1,,8,8,,12,10,
050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,(323) 583-1931,Acute Care Hospitals,Proprietary,Yes,,,NA,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,7,
050093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,FRESNO,(559) 450-3000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,2,,7,7,0,7,0,,8,8,1,6,1,,11,9,0,7,2,,8,8,,12,11,
050096,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,LOS ANGELES,(626) 338-8481,Acute Care Hospitals,Proprietary,No,,,NA,16,7,2,0,2,0,,8,1,0,1,0,,11,3,0,2,1,,8,NA,5,12,2,
050099,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,SAN BERNARDINO,(714) 985-2811,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,7,1,6,0,,8,8,1,7,0,,11,9,0,9,0,,8,8,,12,11,
050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,(858) 939-3400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,6,0,6,0,,8,8,2,6,0,,11,10,0,10,0,,8,8,,12,9,
050101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,(707) 554-5280,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,5,0,5,0,,8,7,1,6,0,,11,9,0,8,1,,8,8,,12,9,
050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,RIVERSIDE,CA,92503,RIVERSIDE,(951) 688-2211,Acute Care Hospitals,Proprietary,Yes,,Y,2,,7,3,0,3,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,9,
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,2,,7,5,0,5,0,,8,8,1,7,0,,11,8,0,5,3,,8,8,,12,8,
050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,(310) 900-8900,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,3,,7,5,0,5,0,,8,6,1,5,0,,11,5,1,3,1,,8,8,,12,9,
050107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA,93454,SANTA BARBARA,(805) 739-3000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,7,1,5,1,,11,11,2,8,1,,8,8,,12,11,
050108,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,SACRAMENTO,(916) 733-8999,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,10,1,,8,8,,12,9,
050110,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,LOMPOC,CA,93436,SANTA BARBARA,(805) 737-3300,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,4,0,4,0,,8,4,0,4,0,,11,7,0,7,0,,8,8,,12,10,
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,6,2,4,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,10,
050113,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,94403,SAN MATEO,(650) 573-2222,Acute Care Hospitals,Government - Local,Yes,,,NA,16,7,NA,NA,NA,NA,5,8,2,0,2,0,,11,3,0,3,0,,8,8,,12,6,
050115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 EAST VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,(760) 739-3000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,7,1,6,0,,8,7,1,6,0,,11,9,1,8,0,,8,8,,12,10,
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,(818) 885-8500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,1,6,0,,8,7,2,5,0,,11,10,0,10,0,,8,8,,12,7,
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,(209) 823-3111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,1,,7,5,0,5,0,,8,4,1,2,1,,11,6,0,6,0,,8,8,,12,10,
050121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,KINGS,(209) 410-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,5,0,3,2,,8,8,1,7,0,,11,8,0,5,3,,8,8,,12,11,
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,(209) 944-5550,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,3,,7,7,0,7,0,,8,5,0,4,1,,11,8,1,7,0,,8,8,,12,7,
050124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91208,LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,7,0,7,0,,11,7,0,5,2,,8,8,,12,10,
050125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,(408) 259-5000,Acute Care Hospitals,Government - Federal,Yes,Y,,3,,7,7,0,7,0,,8,6,1,5,0,,11,9,0,7,2,,8,8,,12,7,
050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,(818) 782-6600,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,2,,7,6,2,4,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,8,
050127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,(530) 662-3961,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,,7,4,0,4,0,,8,5,0,5,0,,11,9,2,7,0,,8,8,,12,11,
050128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,(760) 724-8411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Y,3,,7,6,0,6,0,,8,7,0,6,1,,11,9,0,9,0,,8,8,,12,8,
050129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,(909) 883-8711,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,6,3,3,0,,11,7,0,7,0,,8,8,,12,8,
050131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,(415) 209-1300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,5,,7,4,0,4,0,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,8,
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,Acute Care Hospitals,Proprietary,Yes,Y,Y,4,,7,5,1,4,0,,8,7,0,7,0,,11,7,0,5,2,,8,8,,12,8,
050133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,YUBA,(530) 749-4300,Acute Care Hospitals,Government - Federal,Yes,Y,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,10,1,,8,8,,12,10,
050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,(323) 462-2271,Acute Care Hospitals,Proprietary,Yes,Y,,3,,7,6,2,4,0,,8,5,2,3,0,,11,6,0,4,2,,8,8,,12,7,
