facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,96,3,1,98,86,10,4,91,81,16,3,93,81,16,3,92,,704,240,34,2022-04-01,2023-03-31
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,97,2,1,98,86,11,3,91,84,13,3,93,84,13,3,93,,1562,449,29,2022-04-01,2023-03-31
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,94,6,0,97,85,11,4,90,83,12,5,92,77,19,4,90,,974,237,24,2022-04-01,2023-03-31
05C0001321,EL MIRADOR SURGICAL CENTER,1180 N. INDIAN CANYON #110,PALM SPRINGS,CA,92262,,(469) 893-6573,95,4,1,97,86,11,3,91,85,13,2,94,86,12,2,94,,1308,407,31,2022-04-01,2023-03-31
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,96,4,0,98,90,8,2,94,89,9,2,95,85,13,2,94,,1549,395,26,2022-04-01,2023-03-31
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,96,4,0,98,90,8,2,94,87,11,2,94,86,13,1,95,,1706,560,33,2022-04-01,2023-03-31
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,91,8,1,95,90,8,2,96,90,9,1,96,,976,331,34,2022-04-01,2023-03-31
05C0001505,MAGNOLIA SURGERY CENTER,14571 MAGNOLIA ST # 107,WESTMINSTER,CA,92683,,(714) 903-1390,96,4,0,98,90,7,3,94,74,24,2,91,72,23,5,88,,1042,182,17,2022-04-01,2023-03-31
05C0001508,AMBULATORY SURGERY CENTER OF STOCKTON,2388 N. CALIFORNIA ST.,STOCKTON,CA,95204,,(209) 944-9100,94,5,1,97,89,9,2,94,89,8,3,95,87,11,2,95,,989,355,36,2022-04-01,2023-03-31
05C0001529,SANTA BARBARA SURGERY CENTER,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97,2,1,98,90,7,3,93,90,8,2,95,91,7,2,96,,926,352,38,2022-04-01,2023-03-31
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,98,2,0,99,93,6,1,96,93,6,1,96,93,6,1,97,,909,297,33,2022-04-01,2023-03-31
05C0001552,SIERRA PACIFIC SURGERY CENTER LP,1630 E. HERNDON AVE. #150,FRESNO,CA,93720,,(559) 256-1631,97,3,0,99,92,7,1,95,92,8,0,96,91,9,0,97,,1448,458,32,2022-04-01,2023-03-31
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,97,3,0,98,89,9,2,94,86,13,1,94,83,16,1,94,,1202,320,27,2022-04-01,2023-03-31
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,98,2,0,99,86,11,3,92,89,9,2,94,87,11,2,95,,1622,331,20,2022-04-01,2023-03-31
05C0001572,ROSEVILLE SURGERY CENTER,1420 ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,96,3,1,98,91,7,2,95,83,13,4,93,80,17,3,92,,1700,548,32,2022-04-01,2023-03-31
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,98,2,0,99,93,6,1,96,92,7,1,96,91,8,1,97,,1006,317,32,2022-04-01,2023-03-31
05C0001604,PROCEDURE CENTER OF SOUTH SACRAMENTO INC,"8120 TIMBERLAKE WAY, STE. 103",SACRAMENTO,CA,95823,,(916) 681-2350,97,3,0,98,90,8,2,94,85,13,2,94,85,13,2,94,,1871,454,24,2022-04-01,2023-03-31
05C0001643,NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 245-4845,98,2,0,99,91,8,1,95,90,9,1,96,91,8,1,97,,956,325,34,2022-04-01,2023-03-31
05C0001711,ST JOSEPH'S SURGERY CENTER,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,97,3,0,98,91,8,1,95,83,15,2,94,82,16,2,93,,948,263,28,2022-04-01,2023-03-31
05C0001719,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,99,1,0,99,94,5,1,97,93,6,1,96,91,8,1,97,,3418,1079,32,2022-04-01,2023-03-31
05C0001750,REAGAN ST SURGERY CENTER,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,96,3,1,98,87,10,3,92,88,10,2,95,85,13,2,94,,1042,300,29,2022-04-01,2023-03-31
05C0001756,ENCINITAS ENDOSCOPY CENTER LLC,"700 GARDEN VIEW CRT, STE. 101",ENCINITAS,CA,92024,,(760) 274-2700,97,3,0,98,90,7,3,93,86,11,3,93,86,11,3,94,,1011,274,27,2022-04-01,2023-03-31
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,98,2,0,99,93,6,1,96,90,8,2,95,89,10,1,96,,1137,443,39,2022-04-01,2023-03-31
05C0001764,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY #110,TORRANCE,CA,90505,,(310) 325-4555,97,3,0,98,90,8,2,94,93,5,2,96,89,9,2,95,,1601,488,30,2022-04-01,2023-03-31
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,94,5,1,96,93,6,1,96,83,14,3,93,82,15,3,93,,1746,392,22,2022-04-01,2023-03-31
05C0001813,RENAISSANCE SURGERY CENTER LLC,2365 EAST FIR AVE,FRESNO,CA,93720,,(559) 797-9100,97,2,1,98,90,8,2,94,91,7,2,96,87,11,2,94,,1437,522,36,2022-04-01,2023-03-31
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,97,2,1,98,88,10,2,93,92,6,2,97,89,10,1,96,,1358,265,20,2022-04-01,2023-03-31
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,97,3,0,98,88,11,1,94,85,12,3,94,87,12,1,95,,836,270,32,2022-04-01,2023-03-31
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,95,5,0,97,87,10,3,92,80,18,2,93,78,20,2,92,,2508,585,23,2022-04-01,2023-03-31
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,98,2,0,99,93,6,1,96,89,10,1,95,91,8,1,96,,1326,413,31,2022-04-01,2023-03-31
05C0001879,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,93,6,1,96,92,7,1,96,91,8,1,96,,5350,1418,27,2022-04-01,2023-03-31
05C0001975,HUNTINGTON AMBULATORY SURGERY CENTER,625 SOUTH FAIR OAKS AVE SUITE 380,PASADENA,CA,91105,,(626) 229-8999,97,3,0,98,90,8,2,94,88,10,2,95,88,11,1,96,,1449,415,29,2022-04-01,2023-03-31
05C0002058,UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,25775 WEST MCBEAN PARKWAY SUITE 115,LOS ANGELES,CA,90095,,(661) 253-7956,97,2,1,98,92,6,2,95,88,9,3,95,85,14,1,94,,854,170,20,2022-04-01,2023-03-31
05C0002179,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,91,8,1,95,91,8,1,96,89,10,1,96,,6926,1402,20,2022-04-01,2023-03-31
05C0002196,VENTANA SURGICAL CENTER LLC,18133 VENTURA BLVD SUITE 400,ADDISON,CA,91356,,(818) 668-6200,96,4,0,98,90,8,2,94,89,8,3,95,85,13,2,94,,1272,288,23,2022-04-01,2023-03-31
05C0002215,WEST COAST JOINT AND SPINE CENTER,8135 SARATOGA WAY,EL DORADO HILLS,CA,95762,,(000) 000-0000,98,2,0,99,91,7,2,95,92,5,3,95,91,7,2,96,,1259,393,31,2022-04-01,2023-03-31
05C0002282,SCRIPPS HEALTH DBA ASC JEFFERSON,2205 VISTA WAY,OCEANSIDE,CA,92054,,(000) 000-0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
55C0001055,SAN FERNANDO VALLEY SURGERY CENTER,11550 INDIAN HILLS RD SUITE 160,MISSION HILLS,CA,91345,,(818) 256-2100,95,4,1,97,87,10,3,92,84,14,2,94,78,20,2,92,,1290,340,26,2022-04-01,2023-03-31
55C0001083,SACRAMENTO MIDTOWN ENDOSCOPY CENTER,3941 J ST SUITE 460,SACRAMENTO,CA,95819,,(916) 733-6940,94,6,0,97,87,11,2,92,80,15,5,92,79,18,3,92,,1014,279,28,2022-04-01,2023-03-31
